mean_ctrl,mean_patient,genename,uniprot
40143.8,36431.8,FAM136A,Q96C01
40170.5,65417.3,AMACR,Q9UHK6;Q9UHK6-5
40172.5,55169.1,MGARP,Q8TDB4
40442.8,26085.4,SUOX,P51687
40485.5,45433.2,COA3,Q9Y2R0
40537.7,38610.1,MFN1,Q8IWA4
40685.7,40577.5,HARS2,P49590
40711.5,67947.5,EHHADH,Q08426
40788.2,33619.5,NFS1,Q9Y697;Q9Y697-2
40867.7,35157.4,MSRB2,Q9Y3D2
40919.2,23911.1,NAXD,Q8IW45
41057.2,60821.1,NUDT19,A8MXV4
41088.7,48005.8,ARMCX2,Q7L311
41323.8,44099,PNPLA8,Q9NP80;Q9NP80-3
41509.8,34813.4,SARS2,Q9NP81
42410.1,49656.6,CLPP,Q16740
42443.2,40819.5,ABHD11,Q8NFV4
42456.5,48834,MPC1,Q9Y5U8
42991.2,36580.1,LARS2,Q15031
43153.2,32621.1,BCL2L1,Q07817;Q07817-3
43179.9,36937.1,AUH,Q13825
43813.2,54849.9,MMAA,Q8IVH4
43844.3,51115.6,TRMT61B,Q9BVS5
43849.6,38862.4,FDX1,P10109
44047.7,27518.6,HINT3,Q9NQE9
44361,42240,PTPMT1,Q8WUK0
44400.1,33940.3,OMA1,Q96E52
45084.9,247536,DNAJC30,Q96LL9
45207,38390.2,MAIP1,Q8WWC4
45389.7,34211.1,ECSIT,Q9BQ95
45494.8,39206.5,CCDC51,Q96ER9;Q96ER9-2
45577.2,47805.9,TBRG4,Q969Z0
46036,41495.7,DNAJC19,Q96DA6
46276.2,43609.7,TIMM22,Q9Y584
47601.7,42252.1,SUPV3L1,Q8IYB8
47655.6,47422.3,CPS1,P31327;P31327-3
47680.9,48077.3,MFN2,O95140
47834.2,56718.4,MIGA1,Q8NAN2
48069.7,35958.4,PREPL,Q4J6C6;Q4J6C6-4
39690.1,41192.7,A2M,P01023
39757,40063.3,A2ML1,A8K2U0
39818.4,40791.6,AAAS,Q9NRG9
39859.5,29172.9,AACS,Q86V21
39877,36931,AAGAB,Q6PD74
39947.1,32300.2,AAK1,Q2M2I8
40053.7,36388.6,AAMDC,Q9H7C9
40062,45669.7,AAMP,Q13685
40143.8,36431.8,AAR2,Q9Y312
40170.5,65417.3,AARS1,P49588
40172.5,55169.1,AARSD1,Q9BTE6;Q9BTE6-2;Q9BTE6-3
40442.8,26085.4,AASDHPPT,Q9NRN7
40485.5,45433.2,AATF,Q9NY61
40537.7,38610.1,ABCA1,O95477
40685.7,40577.5,ABCC1,P33527;P33527-9
40711.5,67947.5,ABCC10,Q5T3U5;Q5T3U5-2
40788.2,33619.5,ABCC4,O15439;O15439-2
40867.7,35157.4,ABCD4,O14678
40919.2,23911.1,ABCE1,P61221
41057.2,60821.1,ABCF1,Q8NE71
41088.7,48005.8,ABCF2,Q9UG63;Q9UG63-2
41323.8,44099,ABCF3,Q9NUQ8;Q9NUQ8-2
41509.8,34813.4,ABHD12,Q8N2K0;Q8N2K0-2
42410.1,49656.6,ABHD14B,Q96IU4
42443.2,40819.5,ABHD16A,O95870
