"genename","uniprot","mean_patient","mean_ctrl","mito","complex"
"TAX1BP3","O14907",392268.135433333,414121.21252,"nonmito",""
"TBC1D10A","Q9BXI6;Q9BXI6-2",22997.6165333333,17861.576368,"nonmito",""
"TBC1D10B","Q4KMP7",20338.9251333333,20825.108596,"nonmito",""
"TBC1D13","Q9NVG8",41602.34245,48051.675,"nonmito",""
"TBC1D15","Q8TC07;Q8TC07-2",63704.4244766667,51029.977344,"nonmito",""
"TBC1D17","Q9HA65;Q9HA65-3",71791.61719,60957.314844,"nonmito",""
"TBC1D2","Q9BYX2",18916.4583333333,19163.848826,"nonmito",""
"TBC1D20","Q96BZ9;Q96BZ9-3",26749.0292966667,22252.338674,"nonmito",""
"TBC1D23","Q9NUY8",30604.2955733333,26369.657422,"nonmito",""
"TBC1D24","Q9ULP9;Q9ULP9-2",30465.5169266667,27940.956642,"nonmito",""
"TBC1D2B","Q9UPU7;Q9UPU7-2",26355.1803366667,19894.09121,"nonmito",""
"TBC1D4","O60343;O60343-2;O60343-3",17914.97331,26950.341798,"nonmito",""
"TBC1D5","Q92609;Q92609-2",31903.1842466667,31393.126562,"nonmito",""
"TBC1D8B","Q0IIM8",23526.81641,16905.240626,"nonmito",""
"TBC1D9B","Q66K14;Q66K14-2",44503.6861966667,36611.535938,"nonmito",""
"TBCA","O75347",17018.49284,40087.775,"nonmito",""
"TBCB","Q99426",142984.859366667,282995.53438,"nonmito",""
"TBCC","Q15814",47393.58854,63693.803124,"nonmito",""
"TBCD","Q9BTW9",47936.3411433333,44228.675782,"nonmito",""
"TBCE","Q15813",25257.4277333333,28261.659766,"nonmito",""
"TBCEL","Q5QJ74",50503.3997366667,29973.552734,"nonmito",""
"TBCK","Q8TEA7;Q8TEA7-2",17296.2571633333,15458.612502,"nonmito",""
"TBK1","Q9UHD2",32820.7376333333,37601.861718,"nonmito",""
"TBL1XR1","Q9BZK7",27952.56315,17012.292968,"nonmito",""
"TBL2","Q9Y4P3",70188.0625,59155.69375,"nonmito",""
"TBL3","Q12788",139658.7813,140051.52502,"nonmito",""
"TBPL1","P62380",16469.6077466667,11082.310743,"nonmito",""
"TBRG4","Q969Z0",30093.75586,42072.195314,"mito",""
"TCAF1","Q9Y4C2",37325.69922,33418.290234,"nonmito",""
"TCEA1","P23193",79730.2135433333,55592.832032,"nonmito",""
