"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"NAA50","Q9GZZ1",370304.333333333,471694.333333333,"Q9GZZ1","nonmito",""
"NAA80","Q93015-2",76901.0666666667,53693.6,"Q93015","nonmito",""
"NACA","E9PAV3;E9PAV3-2;Q13765",462246.666666667,615165.333333333,"E9PAV3","nonmito",""
"NACC1","Q96RE7",145229.666666667,170089.333333333,"Q96RE7","nonmito",""
"NADK2","Q4G0N4",102525.266666667,108230.666666667,"Q4G0N4","mito",""
"NADSYN1","Q6IA69",57321.2333333333,77244.7666666667,"Q6IA69","nonmito",""
"NAE1","Q13564;Q13564-2;Q13564-3;Q13564-4",463728.666666667,398164.666666667,"Q13564","nonmito",""
"NAF1","Q96HR8;Q96HR8-2",246923,321310,"Q96HR8","nonmito",""
"NAGK","Q9UJ70",309435.333333333,214372,"Q9UJ70","nonmito",""
"NAGLU","P54802",137465.666666667,100905.366666667,"P54802","nonmito",""
"NAMPT","P43490",256478,233530,"P43490","nonmito",""
"NAP1L1","P55209-3",218402.733333333,508514.666666667,"P55209","nonmito",""
"NAP1L1","P55209;P55209-2",717693.333333333,885030,"P55209","nonmito",""
"NAP1L4","Q99733;Q99733-2",288160.666666667,411648,"Q99733","nonmito",""
"NAPA","P54920",318175,322774,"P54920","nonmito",""
"NAPG","Q99747",107193.333333333,80616,"Q99747","nonmito",""
"NARS1","O43776",774245.333333333,603441.666666667,"O43776","nonmito",""
"NARS2","Q96I59",182911.666666667,153024.333333333,"Q96I59","mito",""
"NASP","P49321",487248.666666667,566153.333333333,"P49321","nonmito",""
"NAT1","P18440",112756.833333333,73377.15,"P18440","nonmito",""
"NAT10","Q9H0A0",259177.333333333,341458.666666667,"Q9H0A0","nonmito",""
"NAT14","Q8WUY8",181156.333333333,100143.566666667,"Q8WUY8","nonmito",""
"NAV1","Q8NEY1;Q8NEY1-2;Q8NEY1-3",62970.9666666667,51682.8333333333,"Q8NEY1","nonmito",""
"NAXE","Q8NCW5",611027.666666667,433439,"Q8NCW5","mito",""
"NBAS","A2RRP1;A2RRP1-2",92603.1666666667,66324.2666666667,"A2RRP1","nonmito",""
"NBN","O60934",117116.666666667,103630.666666667,"O60934","nonmito",""
"NCAM1","P13591",126020.333333333,96015.0666666667,"P13591","nonmito",""
"NCAPD2","Q15021",221016.666666667,222432,"Q15021","nonmito",""
"NCAPD3","P42695",143227.333333333,136469.666666667,"P42695","nonmito",""
"NCAPG","Q9BPX3",227194.333333333,215065.666666667,"Q9BPX3","nonmito",""
"NCAPG2","Q86XI2",127438.333333333,127899,"Q86XI2","nonmito",""
"NCAPH","Q15003",178260,161760.333333333,"Q15003","nonmito",""
"NCAPH2","Q6IBW4;Q6IBW4-4",116458.333333333,98619.9666666667,"Q6IBW4","nonmito",""
"NCBP1","Q09161",345586.333333333,306761.333333333,"Q09161","nonmito",""
"NCBP2","P52298",312007.666666667,315045.333333333,"P52298","nonmito",""
"NCBP3","Q53F19",171339,175171,"Q53F19","nonmito",""
"NCDN","Q9UBB6;Q9UBB6-3",166698.666666667,209363.333333333,"Q9UBB6","nonmito",""
"NCEH1","Q6PIU2;Q6PIU2-2",94280.3333333333,72829.1666666667,"Q6PIU2","nonmito",""
"NCK1","P16333",157772.666666667,148080.333333333,"P16333","nonmito",""
"NCK2","O43639",156519,152710.666666667,"O43639","nonmito",""
"NCKAP1","Q9Y2A7;Q9Y2A7-2",217172.333333333,196970.333333333,"Q9Y2A7","nonmito",""
"NCKIPSD","Q9NZQ3;Q9NZQ3-3",174856.666666667,165255.333333333,"Q9NZQ3","nonmito",""
"NCL","P19338",1536050,1474183.33333333,"P19338","nonmito",""
"NCLN","Q969V3;Q969V3-2",222765.666666667,207134.666666667,"Q969V3","nonmito",""
"NCOA1","Q15788;Q15788-2;Q15788-3",54422.2,51249.5,"Q15788","nonmito",""
"NCOA2","Q15596",44949.9333333333,61843.9333333333,"Q15596","nonmito",""
"NCOA5","Q9HCD5",195437,283178.333333333,"Q9HCD5","nonmito",""
"NCOA6","Q14686",61538.4,76730.0666666667,"Q14686","nonmito",""
"NCOR1","O75376;O75376-2",100325.366666667,105076.333333333,"O75376","nonmito",""
"NCOR2","Q9Y618;Q9Y618-4;Q9Y618-5",182828.8,92832.8666666667,"Q9Y618","nonmito",""
"NCR3LG1","Q68D85",43016.2333333333,59682.9333333333,"Q68D85","nonmito",""
"NCS1","P62166",166553.733333333,99780.5666666667,"P62166","nonmito",""
"NCSTN","Q92542;Q92542-2",251678.333333333,258678.666666667,"Q92542","nonmito",""
"NDC1","Q9BTX1;Q9BTX1-2;Q9BTX1-5;Q9BTX1-6",115611,112427,"Q9BTX1","nonmito",""
"NDC80","O14777",112977.333333333,113284.666666667,"O14777","nonmito",""
"NDE1","Q9NXR1;Q9NXR1-1",186894,188433.666666667,"Q9NXR1","nonmito",""
"NDOR1","Q9UHB4;Q9UHB4-2;Q9UHB4-3;Q9UHB4-4",160472.333333333,165880,"Q9UHB4","nonmito",""
"NDRG1","Q92597",204716.666666667,112887.333333333,"Q92597","nonmito",""
"NDRG2","Q9UN36-2;Q9UN36-6",220801.666666667,203859.333333333,"Q9UN36","nonmito",""
"NDRG3","Q9UGV2;Q9UGV2-2;Q9UGV2-3",154450.333333333,191498,"Q9UGV2","nonmito",""
"NDUFA10","O95299",192418.666666667,256017,"O95299","mito","CI"
"NDUFA12","Q9UI09",97065.3666666667,352252,"Q9UI09","mito","CI"
"NDUFA13","Q9P0J0",260544.666666667,403151.333333333,"Q9P0J0","mito","CI"
"NDUFA2","O43678",144328.666666667,688131.666666667,"O43678","mito","CI"
"NDUFA3","O95167",151285.5,128425,"O95167","mito","CI"
"NDUFA4","O00483",611855,584748.666666667,"O00483","mito","CIV"
"NDUFA5","Q16718",227770.333333333,342636.333333333,"Q16718","mito","CI"
"NDUFA6","P56556",88874.3666666667,173035,"P56556","mito","CI"
"NDUFA8","P51970",314601.666666667,320477.333333333,"P51970","mito","CI"
"NDUFA9","Q16795",129031,355279,"Q16795","mito","CI"
"NDUFAB1","O14561",353630.5,296007.666666667,"O14561","mito","CI"
"NDUFAF1","Q9Y375",156548.333333333,165721.333333333,"Q9Y375","mito",""
"NDUFAF2","Q8N183",280946,376119,"Q8N183","mito",""
"NDUFAF3","Q9BU61",479142.333333333,514806,"Q9BU61","mito",""
"NDUFAF4","Q9P032",166896.333333333,200383.666666667,"Q9P032","mito",""
"NDUFAF7","Q7L592",135077,110071.666666667,"Q7L592","mito",""
"NDUFB1","O75438",164783.666666667,181275.333333333,"O75438","mito","CI"
"NDUFB10","O96000",179339,200015.666666667,"O96000","mito","CI"
"NDUFB11","Q9NX14;Q9NX14-2",232375,337389,"Q9NX14","mito","CI"
"NDUFB4","O95168;O95168-2",205352.666666667,510248.666666667,"O95168","mito","CI"
"NDUFB5","O43674;O43674-2",206240,221818,"O43674","mito","CI"
"NDUFB6","O95139",155127.666666667,265305.666666667,"O95139","mito","CI"
"NDUFC2","O95298",134653.666666667,161034.666666667,"O95298","mito","CI"
"NDUFS1","P28331;P28331-2",102425,421239,"P28331","mito","CI"
"NDUFS2","O75306",293222.333333333,495360.333333333,"O75306","mito","CI"
"NDUFS3","O75489",204554,306080.666666667,"O75489","mito","CI"
"NDUFS5","O43920",189421.666666667,290658.666666667,"O43920","mito","CI"
"NDUFS6","O75380",58232.8,119622.333333333,"O75380","mito","CI"
"NDUFS7","O75251",142492.333333333,229642,"O75251","mito","CI"
"NDUFS8","O00217",240396,495774,"O00217","mito","CI"
"NDUFV1","P49821;P49821-2",105395.833333333,355481.333333333,"P49821","mito","CI"
"NDUFV2","P19404",228263.666666667,675027,"P19404","mito","CI"
"NDUFV3","P56181-2",72180.7666666667,104483.6,"P56181","mito","CI"
"NECAP1","Q8NC96",320121,268510.333333333,"Q8NC96","nonmito",""
"NECAP2","Q9NVZ3;Q9NVZ3-2",286585.666666667,276945,"Q9NVZ3","nonmito",""
"NECTIN2","Q92692",226679.333333333,139156.666666667,"Q92692","nonmito",""
"NECTIN3","Q9NQS3",68794.95,100774.8,"Q9NQS3","nonmito",""
"NEDD1","Q8NHV4;Q8NHV4-3",166289.333333333,144523,"Q8NHV4","nonmito",""
"NEDD4","P46934-4",100782.9,71376.0666666667,"P46934","nonmito",""
"NEDD8","Q15843",1293363.33333333,932718.666666667,"Q15843","nonmito",""
"NEFL","P07196",340742.666666667,237612.333333333,"P07196","nonmito",""
"NEFM","P07197",322478.666666667,178034.666666667,"P07197","nonmito",""
"NEK1","Q96PY6;Q96PY6-2;Q96PY6-3;Q96PY6-4;Q96PY6-6",73541.85,79683.6,"Q96PY6","nonmito",""
"NEK3","P51956",100798.4,115679.666666667,"P51956","nonmito",""
"NEK4","P51957;P51957-3",53501.4666666667,70687.9333333333,"P51957","nonmito",""
"NEK7","Q8TDX7",162925.666666667,173270,"Q8TDX7","nonmito",""
"NEK9","Q8TD19",207851,193905,"Q8TD19","nonmito",""
"NELFA","Q9H3P2",116643.333333333,121828,"Q9H3P2","nonmito",""
"NELFB","Q8WX92-2",196570.333333333,181189,"Q8WX92","nonmito",""
"NELFCD","Q8IXH7;Q8IXH7-4",146191.333333333,150938.666666667,"Q8IXH7","nonmito",""
"NELFE","P18615",198607,179796,"P18615","nonmito",""
"NEMF","O60524;O60524-3;O60524-4;O60524-5",101418.833333333,108215.666666667,"O60524","nonmito",""
"NEMP1","O14524",150908.333333333,134873.666666667,"O14524","nonmito",""
