"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"DYNC1LI2","O43237",117669.666666667,156944.666666667,"O43237","nonmito",""
"DYNC2H1","Q8NCM8;Q8NCM8-2",75170.4,105439,"Q8NCM8","nonmito",""
"DYNC2LI1","Q8TCX1;Q8TCX1-3",33917.5666666667,41635.9333333333,"Q8TCX1","nonmito",""
"DYNLL1","P63167",411596.666666667,460157.666666667,"P63167","nonmito",""
"DYNLRB1","Q9NP97",839380.666666667,673497.333333333,"Q9NP97","nonmito",""
"DYNLT1","P63172",216234,194803.666666667,"P63172","nonmito",""
"DYNLT3","P51808",107212,76379.6333333333,"P51808","nonmito",""
"DYRK1A","Q13627;Q13627-2;Q13627-3;Q13627-4;Q13627-5",117315.333333333,128850.333333333,"Q13627","nonmito",""
"DZIP3","Q86Y13",248567.333333333,183503.666666667,"Q86Y13","nonmito",""
"EAF1","Q96JC9",47455.35,66713.4,"Q96JC9","nonmito",""
"EARS2","Q5JPH6",80155.9,215888,"Q5JPH6","mito",""
"EBF3","Q9H4W6-2",171875,139097,"Q9H4W6","nonmito",""
"EBNA1BP2","Q99848",509315.333333333,465698.333333333,"Q99848","nonmito",""
"EBP","Q15125",942181.333333333,934488.333333333,"Q15125","nonmito",""
"ECD","O95905;O95905-3",68028.3333333333,164188,"O95905","nonmito",""
"ECE1","P42892;P42892-2;P42892-3;P42892-4",51102.6333333333,97623.8,"P42892","nonmito",""
"ECH1","Q13011",470192.666666667,278045,"Q13011","mito",""
"ECHDC1","Q9NTX5;Q9NTX5-2",315716,290939,"Q9NTX5","mito",""
"ECHS1","P30084",687909,553934,"P30084","mito",""
"ECI1","P42126",394664.333333333,393011,"P42126","mito",""
"ECI2","O75521;O75521-2",150462,149034.333333333,"O75521","mito",""
"ECPAS","Q5VYK3",184907.666666667,173729,"Q5VYK3","nonmito",""
"ECSIT","Q9BQ95",89988.5,145060,"Q9BQ95","mito",""
"ECT2","Q9H8V3;Q9H8V3-2;Q9H8V3-3;Q9H8V3-4",76891.6333333333,69906.5,"Q9H8V3","nonmito",""
"EDARADD","Q8WWZ3;Q8WWZ3-2",74830.2,59637.9,"Q8WWZ3","nonmito",""
"EDC3","Q96F86",195052.333333333,267907,"Q96F86","nonmito",""
"EDC4","Q6P2E9",231735.333333333,334938.666666667,"Q6P2E9","nonmito",""
"EDF1","O60869",438651,477289.333333333,"O60869","nonmito",""
"EDRF1","Q3B7T1",66469.8,83499.1666666667,"Q3B7T1","nonmito",""
"EEA1","Q15075",89899.8666666667,94965.2666666667,"Q15075","nonmito",""
"EED","O75530;O75530-3",109456.666666667,121647.333333333,"O75530","nonmito",""
"EEF1A1","P68104",1716706.66666667,1954773.33333333,"P68104","nonmito",""
"EEF1A2","Q05639",659249.333333333,252290.666666667,"Q05639","nonmito",""
"EEF1AKNMT","Q8N6R0",147803,168948,"Q8N6R0","nonmito",""
"EEF1B2","P24534",1856920,1586563.33333333,"P24534","nonmito",""
"EEF1D","P29692",738008.333333333,735552.333333333,"P29692","nonmito",""
"EEF1D","P29692-2",118083,131383,"P29692","nonmito",""
"EEF1E1","O43324",393211,450205.666666667,"O43324","nonmito",""
"EEF1G","P26641",2079233.33333333,1743613.33333333,"P26641","nonmito",""
"EEF2","P13639",1493206.66666667,1718113.33333333,"P13639","nonmito",""
"EEFSEC","P57772",94413.8666666667,98002.4,"P57772","nonmito",""
"EFHD1","Q9BUP0",83391.9,81299.9,"Q9BUP0","mito",""
"EFHD2","Q96C19",312285.666666667,206679.666666667,"Q96C19","nonmito",""
"EFL1","Q7Z2Z2",182110,169922.666666667,"Q7Z2Z2","nonmito",""
"EFNB1","P98172",70957.1,91299.9666666667,"P98172","nonmito",""
"EFR3A","Q14156;Q14156-2",44353.7333333333,47216.1333333333,"Q14156","nonmito",""
"EFTUD2","Q15029;Q15029-2",490033,551999,"Q15029","nonmito",""
"EGFR","P00533",62261.0333333333,62426.3666666667,"P00533","nonmito",""
"EGLN1","Q9GZT9",86866.8333333333,113617,"Q9GZT9","nonmito",""
"EHBP1","Q8NDI1;Q8NDI1-2;Q8NDI1-3",50326.6333333333,54355.6333333333,"Q8NDI1","nonmito",""
"EHD1","Q9H4M9",221042,253821.333333333,"Q9H4M9","nonmito",""
"EHD3","Q9NZN3",264279.666666667,264089,"Q9NZN3","nonmito",""
"EHD4","Q9H223",316425.333333333,332563,"Q9H223","nonmito",""
"EHHADH","Q08426",89501.4,71606.1666666667,"Q08426","mito",""
"EHMT1","Q9H9B1",44290.5333333333,74196.0333333333,"Q9H9B1","nonmito",""
"EHMT2","Q96KQ7;Q96KQ7-2",80878.3333333333,121885,"Q96KQ7","nonmito",""
"EI24","O14681",381877.666666667,351412,"O14681","nonmito",""
"EIF1","P41567",235084,429952.333333333,"P41567","nonmito",""
"EIF1AD","Q8N9N8",114830.666666667,144195.666666667,"Q8N9N8","nonmito",""
"EIF1AX","P47813",623903,734364.666666667,"P47813","nonmito",""
"EIF2A","Q9BY44",224229.666666667,251423,"Q9BY44","nonmito",""
"EIF2AK2","P19525",270181,249952.666666667,"P19525","nonmito",""
"EIF2AK4","Q9P2K8;Q9P2K8-2",112957.333333333,89321.6333333333,"Q9P2K8","nonmito",""
"EIF2B1","Q14232",257902.666666667,218078.333333333,"Q14232","nonmito",""
"EIF2B2","P49770",142592.666666667,216767.333333333,"P49770","nonmito",""
"EIF2B3","Q9NR50",197595.333333333,179543.333333333,"Q9NR50","nonmito",""
"EIF2B4","Q9UI10",300519.333333333,243667,"Q9UI10","nonmito",""
"EIF2B5","Q13144",210858,161900.333333333,"Q13144","nonmito",""
"EIF2D","P41214",134060.333333333,154467,"P41214","nonmito",""
"EIF2S1","P05198",621240,548672.333333333,"P05198","nonmito",""
"EIF2S2","P20042",422305.333333333,392510.666666667,"P20042","nonmito",""
"EIF2S3","P41091",472053,468770.333333333,"P41091","nonmito",""
"EIF3A","Q14152",428350.333333333,450166.333333333,"Q14152","nonmito",""
"EIF3B","P55884;P55884-2",528079.333333333,549157.666666667,"P55884","nonmito",""
"EIF3C","Q99613",481488,559883.333333333,"Q99613","nonmito",""
"EIF3D","O15371;O15371-3",333582.666666667,398792.666666667,"O15371","nonmito",""
"EIF3E","P60228",733418,858612,"P60228","nonmito",""
"EIF3F","O00303",503965.333333333,602441.666666667,"O00303","nonmito",""
"EIF3G","O75821",304553.666666667,345477.666666667,"O75821","nonmito",""
"EIF3H","O15372",282427.666666667,304596,"O15372","nonmito",""
"EIF3I","Q13347",457198.666666667,556930.666666667,"Q13347","nonmito",""
"EIF3J","O75822",321811,295911,"O75822","nonmito",""
"EIF3K","Q9UBQ5;Q9UBQ5-2",188446.333333333,208738.666666667,"Q9UBQ5","nonmito",""
"EIF3L","Q9Y262;Q9Y262-2",625683,697049,"Q9Y262","nonmito",""
"EIF3M","Q7L2H7",404833,437664.666666667,"Q7L2H7","nonmito",""
"EIF4A1","P60842",1213143.33333333,1858050,"P60842","nonmito",""
"EIF4A2","Q14240;Q14240-2",331640.666666667,217436,"Q14240","nonmito",""
"EIF4A3","P38919",844252.666666667,805319.666666667,"P38919","nonmito",""
"EIF4B","P23588",334817,324466,"P23588","nonmito",""
"EIF4E","P06730;P06730-2",185458.666666667,267040.666666667,"P06730","nonmito",""
"EIF4E2","O60573",165111.333333333,199036,"O60573","nonmito",""
"EIF4ENIF1","Q9NRA8;Q9NRA8-3",41985.1333333333,106506,"Q9NRA8","nonmito",""
"EIF4G1","Q04637-4",313235.333333333,406520.666666667,"Q04637","nonmito",""
"EIF4G2","P78344",402726.666666667,444646.333333333,"P78344","nonmito",""
"EIF4G3","O43432;O43432-3",96417.9333333333,110903.666666667,"O43432","nonmito",""
"EIF4H","Q15056",610411.333333333,668111.666666667,"Q15056","nonmito",""
"EIF5","P55010",379376.666666667,293384.666666667,"P55010","nonmito",""
"EIF5A","P63241",903269.333333333,758204.333333333,"P63241","nonmito",""
"EIF5B","O60841",249693.666666667,242853.666666667,"O60841","nonmito",""
"EIF6","P56537",635407.333333333,583399.666666667,"P56537","nonmito",""
"EIPR1","Q53HC9",74513.4,57526.6333333333,"Q53HC9","nonmito",""
"ELAC2","Q9BQ52",275824,296430.333333333,"Q9BQ52","mito",""
"ELAVL1","Q15717",1170576.66666667,1122280,"Q15717","nonmito",""
"ELAVL2","Q12926;Q12926-2",371345,354777.666666667,"Q12926","nonmito",""
"ELF1","P32519;P32519-2",64234.85,94957.3333333333,"P32519","nonmito",""
