"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"CDCA3","Q99618",67224.6666666667,65027.1,"Q99618","nonmito",""
"CDCA5","Q96FF9",183759.333333333,141612.666666667,"Q96FF9","nonmito",""
"CDCA7","Q9BWT1;Q9BWT1-2;Q9BWT1-5;Q9BWT1-6",92107.7,126165.333333333,"Q9BWT1","nonmito",""
"CDCA8","Q53HL2",243857.333333333,198206.666666667,"Q53HL2","nonmito",""
"CDH2","P19022;P19022-2",179828,132348,"P19022","nonmito",""
"CDIPT","O14735",295497.666666667,221565.666666667,"O14735","nonmito",""
"CDK1","P06493",767547.333333333,564460.333333333,"P06493","nonmito",""
"CDK11B","P21127;P21127-2;P21127-3;P21127-8",222490.666666667,215434.666666667,"P21127","nonmito",""
"CDK12","Q9NYV4;Q9NYV4-2",90835.7333333333,91776.2333333333,"Q9NYV4","nonmito",""
"CDK13","Q14004;Q14004-2",30969.4333333333,37212.1,"Q14004","nonmito",""
"CDK16","Q00536;Q00536-2;Q00536-3",117798.333333333,101692.666666667,"Q00536","nonmito",""
"CDK2","P24941",260494,267169.666666667,"P24941","nonmito",""
"CDK4","P11802",353835.666666667,385205.333333333,"P11802","nonmito",""
"CDK5","Q00535",273666.333333333,235071,"Q00535","nonmito",""
"CDK5RAP1","Q96SZ6-3",116850.333333333,111330.333333333,"Q96SZ6","mito",""
"CDK5RAP2","Q96SN8;Q96SN8-3",48983.8,54715.0333333333,"Q96SN8","nonmito",""
"CDK5RAP3","Q96JB5;Q96JB5-4",87032.8666666667,124805,"Q96JB5","nonmito",""
"CDK6","Q00534",160717,167979.666666667,"Q00534","nonmito",""
"CDK7","P50613",203869.333333333,190983.333333333,"P50613","nonmito",""
"CDK8","P49336;P49336-2",93129.5,114637,"P49336","nonmito",""
"CDK9","P50750;P50750-2",200562,189615.333333333,"P50750","nonmito",""
"CDKAL1","Q5VV42",161108.666666667,175953.666666667,"Q5VV42","nonmito",""
"CDKN2A","P42771;P42771-4",754535.333333333,1070592.66666667,"P42771","nonmito",""
"CDKN2A","Q8N726",304769.333333333,136317.333333333,"P42771","nonmito",""
"CDKN2AIP","Q9NXV6",116343,101556.7,"Q9NXV6","nonmito",""
"CDS2","O95674",214486.333333333,151974.666666667,"O95674","nonmito",""
"CDV3","Q9UKY7",145990,178069.333333333,"Q9UKY7","nonmito",""
"CDYL","Q9Y232;Q9Y232-2",94257.4333333333,75050.2666666667,"Q9Y232","nonmito",""
"CEBPZ","Q03701",174807.666666667,169510.333333333,"Q03701","nonmito",""
"CECR2","Q9BXF3;Q9BXF3-3",53985.8,53005.1333333333,"Q9BXF3","nonmito",""
"CELF1","Q92879;Q92879-2;Q92879-3;Q92879-4;Q92879-6",175989.333333333,245277.333333333,"Q92879","nonmito",""
"CENPB","P07199",119262,126178.666666667,"P07199","nonmito",""
"CENPC","Q03188",84112.3333333333,67876.2666666667,"Q03188","nonmito",""
"CENPE","Q02224;Q02224-3",100733.433333333,87003.2333333333,"Q02224","nonmito",""
"CENPF","P49454",91680.8333333333,78727.3,"P49454","nonmito",""
"CENPH","Q9H3R5",167256.666666667,189653,"Q9H3R5","nonmito",""
"CENPI","Q92674",71301.3333333333,68727.2,"Q92674","nonmito",""
"CENPM","Q9NSP4",206555,231786.333333333,"Q9NSP4","nonmito",""
"CENPQ","Q7L2Z9",109141.1,114697.333333333,"Q7L2Z9","nonmito",""
"CENPU","Q71F23",86090.4,92896.6333333333,"Q71F23","nonmito",""
"CENPV","Q7Z7K6",167026.666666667,230583.666666667,"Q7Z7K6","nonmito",""
"CEP128","Q6ZU80;Q6ZU80-1",74010.85,81081.0333333333,"Q6ZU80","nonmito",""
"CEP131","Q9UPN4;Q9UPN4-2",106080.866666667,123233,"Q9UPN4","nonmito",""
"CEP135","Q66GS9",100151.75,75671.1666666667,"Q66GS9","nonmito",""
"CEP170","Q5SW79",133519.333333333,143625.666666667,"Q5SW79","nonmito",""
"CEP250","Q9BV73;Q9BV73-2",72418.5,65152.1333333333,"Q9BV73","nonmito",""
"CEP290","O15078",163717,144238.666666667,"O15078","nonmito",""
"CEP350","Q5VT06",119131.333333333,125991,"Q5VT06","nonmito",""
