"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"DCAF11","Q8TEB1;Q8TEB1-2",52165.4,61696.3666666667,"Q8TEB1","nonmito",""
"DCAF13","Q9NV06",167045,152605.333333333,"Q9NV06","nonmito",""
"DCAF16","Q9NXF7",151043.666666667,134488.666666667,"Q9NXF7","nonmito",""
"DCAF5","Q96JK2;Q96JK2-3",70121.5,67003,"Q96JK2","nonmito",""
"DCAF6","Q58WW2;Q58WW2-2;Q58WW2-3;Q58WW2-4",156664.333333333,157377,"Q58WW2","nonmito",""
"DCAF7","P61962",318712.666666667,308311.666666667,"P61962","nonmito",""
"DCAF8","Q5TAQ9",123384.333333333,142268.666666667,"Q5TAQ9","nonmito",""
"DCAKD","Q8WVC6",254785.666666667,212627.333333333,"Q8WVC6","mito",""
"DCK","P27707",173187.333333333,174398.666666667,"P27707","nonmito",""
"DCLK1","O15075;O15075-2",57047.5333333333,61053,"O15075","nonmito",""
"DCP1A","Q9NPI6;Q9NPI6-2",150610.333333333,150513.333333333,"Q9NPI6","nonmito",""
"DCP1B","Q8IZD4",161700,166570.333333333,"Q8IZD4","nonmito",""
"DCP2","Q8IU60;Q8IU60-2",115933.333333333,99836.7,"Q8IU60","nonmito",""
"DCPS","Q96C86",317527.666666667,324319,"Q96C86","nonmito",""
"DCTD","P32321;P32321-2",110469,110044,"P32321","nonmito",""
"DCTN1","Q14203-3;Q14203-4",234101.666666667,237307.333333333,"Q14203","nonmito",""
"DCTN2","Q13561;Q13561-2;Q13561-3",566467,565670,"Q13561","nonmito",""
"DCTN3","O75935;O75935-3",243333,228002.333333333,"O75935","nonmito",""
"DCTN4","Q9UJW0",203479.666666667,219547.666666667,"Q9UJW0","nonmito",""
"DCTN5","Q9BTE1",100069.033333333,116667,"Q9BTE1","nonmito",""
"DCTN6","O00399",182402.666666667,189217.333333333,"O00399","nonmito",""
"DCTPP1","Q9H773",1046923.33333333,944963,"Q9H773","nonmito",""
"DCUN1D1","Q96GG9",136175,139356.333333333,"Q96GG9","nonmito",""
"DCUN1D4","Q92564;Q92564-3",69091.3,67979.8,"Q92564","nonmito",""
"DCUN1D5","Q9BTE7",144042,173884.666666667,"Q9BTE7","nonmito",""
"DCXR","Q7Z4W1",279132.333333333,192184.666666667,"Q7Z4W1","mito",""
"DDA1","Q9BW61",133873,150417.333333333,"Q9BW61","nonmito",""
"DDAH1","O94760",175402.333333333,113009,"O94760","nonmito",""
"DDAH2","O95865",207159,137018,"O95865","nonmito",""
"DDB1","Q16531",382813.333333333,425325,"Q16531","nonmito",""
"DDB2","Q92466",64265.8666666667,124064,"Q92466","nonmito",""
"DDHD1","Q8NEL9;Q8NEL9-2;Q8NEL9-4",39491.3,24438.3666666667,"Q8NEL9","nonmito",""
"DDHD2","O94830",97351.4,68538.9333333333,"O94830","nonmito",""
"DDI2","Q5TDH0;Q5TDH0-3",257625.333333333,280373.333333333,"Q5TDH0","nonmito",""
"DDOST","P39656",597391.333333333,628599.666666667,"P39656","nonmito",""
"DDRGK1","Q96HY6",163980.666666667,153825.333333333,"Q96HY6","nonmito",""
"DDT","P30046",2013493.33333333,1933273.33333333,"P30046","nonmito",""
"DDX1","Q92499",549098.666666667,551965.333333333,"Q92499","nonmito",""
"DDX10","Q13206",146227.666666667,135032,"Q13206","nonmito",""
"DDX17","Q92841",1124753.33333333,1144520,"Q92841","nonmito",""
"DDX18","Q9NVP1",327034.666666667,294061.666666667,"Q9NVP1","nonmito",""
"DDX19A","Q9NUU7",152001.666666667,168941.333333333,"Q9NUU7","nonmito",""
"DDX19B","Q9UMR2",342303.333333333,343857.333333333,"Q9UMR2","nonmito",""
"DDX20","Q9UHI6",123136.333333333,144548,"Q9UHI6","nonmito",""
"DDX21","Q9NR30",549638.333333333,501683.333333333,"Q9NR30","nonmito",""
"DDX23","Q9BUQ8",223033,206294.666666667,"Q9BUQ8","nonmito",""
"DDX24","Q9GZR7",190348.666666667,157297.666666667,"Q9GZR7","nonmito",""
"DDX27","Q96GQ7",239712.666666667,215223.666666667,"Q96GQ7","nonmito",""
"DDX28","Q9NUL7",134706.333333333,132439.666666667,"Q9NUL7","mito",""
"DDX31","Q9H8H2",171100.333333333,147725.333333333,"Q9H8H2","nonmito",""
"DDX39A","O00148",1254766.66666667,1309413.33333333,"O00148","nonmito",""
"DDX39B","Q13838;Q13838-2",570084.333333333,574735.666666667,"Q13838","nonmito",""
"DDX3X","O00571",641202.333333333,687230,"O00571","nonmito",""
"DDX41","Q9UJV9",224214,226728.666666667,"Q9UJV9","nonmito",""
"DDX42","Q86XP3",201173.333333333,211293.333333333,"Q86XP3","nonmito",""
"DDX46","Q7L014",221692.666666667,226784.666666667,"Q7L014","nonmito",""
"DDX47","Q9H0S4",385132.666666667,355596,"Q9H0S4","nonmito",""
"DDX49","Q9Y6V7",152076,157435.666666667,"Q9Y6V7","nonmito",""
"DDX5","P17844",1022203.33333333,1192570,"P17844","nonmito",""
"DDX50","Q9BQ39",230381,213672.333333333,"Q9BQ39","nonmito",""
"DDX51","Q8N8A6",146907.666666667,158793.333333333,"Q8N8A6","nonmito",""
"DDX52","Q9Y2R4",240787.333333333,214190.666666667,"Q9Y2R4","nonmito",""
"DDX54","Q8TDD1;Q8TDD1-2",330858,288902.333333333,"Q8TDD1","nonmito",""
"DDX55","Q8NHQ9",122707,110171,"Q8NHQ9","nonmito",""
"DDX56","Q9NY93",193829.666666667,224620,"Q9NY93","nonmito",""
"DDX59","Q5T1V6",74603.2666666667,81574.8333333333,"Q5T1V6","nonmito",""
"DDX6","P26196",250970.666666667,282062,"P26196","nonmito",""
"DECR1","Q16698;Q16698-2",190991.666666667,179412.333333333,"Q16698","mito",""
"DECR2","Q9NUI1",103729.833333333,69919,"Q9NUI1","nonmito",""
"DEGS1","O15121",275163,293959,"O15121","nonmito",""
"DEK","P35659",423889,403547.333333333,"P35659","nonmito",""
"DENND10","Q8TCE6;Q8TCE6-2",168406.333333333,123747.666666667,"Q8TCE6","nonmito",""
"DENND4A","Q7Z401;Q7Z401-2",82398.5333333333,95792.7,"Q7Z401","nonmito",""
"DENND4C","Q5VZ89;Q5VZ89-3;Q5VZ89-7",71547.2,68137.5666666667,"Q5VZ89","nonmito",""
"DENND5B","Q6ZUT9;Q6ZUT9-2",125952.666666667,100620.733333333,"Q6ZUT9","nonmito",""
"DENND6A","Q8IWF6",64275.8333333333,63126.2333333333,"Q8IWF6","nonmito",""
"DENR","O43583",287130,359129,"O43583","nonmito",""
"DERA","Q9Y315",108142.333333333,129851.666666667,"Q9Y315","nonmito",""
"DERL1","Q9BUN8",387642.666666667,424498.666666667,"Q9BUN8","nonmito",""
"DERL2","Q9GZP9",117562.333333333,142416.333333333,"Q9GZP9","nonmito",""
"DESI1","Q6ICB0",164332,164609.333333333,"Q6ICB0","nonmito",""
"DFFA","O00273",256159.666666667,238267.666666667,"O00273","nonmito",""
"DFFB","O76075",157402.666666667,152092.666666667,"O76075","nonmito",""
"DGAT1","O75907",131299,80576.4,"O75907","nonmito",""
"DGCR8","Q8WYQ5;Q8WYQ5-3",93783.5,88320.9333333333,"Q8WYQ5","nonmito",""
"DGUOK","Q16854;Q16854-2",142896.666666667,141963,"Q16854","mito",""
"DHCR24","Q15392",287118.333333333,326444.666666667,"Q15392","nonmito",""
"DHCR7","Q9UBM7",479983.666666667,492475.666666667,"Q9UBM7","nonmito",""
"DHFR","P00374",339318,394603.666666667,"P00374","nonmito",""
"DHODH","Q02127",144526.666666667,122118.333333333,"Q02127","mito",""
"DHPS","P49366",94123.3,89794.5,"P49366","nonmito",""
"DHRS4","Q9BTZ2",141689.666666667,119258,"Q9BTZ2","mito",""
"DHRS7","Q9Y394",211575.333333333,177491,"Q9Y394","nonmito",""
"DHRS7B","Q6IAN0",97401.4,96949.4333333333,"Q6IAN0","mito",""
"DHTKD1","Q96HY7",97102.3333333333,65872.4,"Q96HY7","mito",""
"DHX15","O43143",569886.666666667,575718.333333333,"O43143","nonmito",""
"DHX16","O60231",288102,295231.666666667,"O60231","nonmito",""
"DHX29","Q7Z478",120231,131964,"Q7Z478","nonmito",""
"DHX30","Q7L2E3",344716.666666667,350702.333333333,"Q7L2E3","mito",""
"DHX33","Q9H6R0",179769.666666667,176337.333333333,"Q9H6R0","nonmito",""
"DHX34","Q14147",121872,119885,"Q14147","nonmito",""
