"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"TIAL1","Q01085;Q01085-2",292795.333333333,344371.333333333,"Q01085","nonmito",""
"TIAM1","Q13009",208029,157242.666666667,"Q13009","nonmito",""
"TIGAR","Q9NQ88",278376,284072.333333333,"Q9NQ88","nonmito",""
"TIMELESS","Q9UNS1;Q9UNS1-2",150050.333333333,139689,"Q9UNS1","nonmito",""
"TIMM13","Q9Y5L4",264714,377367,"Q9Y5L4","mito",""
"TIMM17B","O60830;O60830-2",259322.666666667,255127.333333333,"O60830","mito",""
"TIMM23","O14925",264109.333333333,300998,"O14925","mito",""
"TIMM29","Q9BSF4",103754.333333333,86607.8333333333,"Q9BSF4","mito",""
"TIMM44","O43615",267793.333333333,259289.666666667,"O43615","mito",""
"TIMM50","Q3ZCQ8;Q3ZCQ8-2",390816,374661.333333333,"Q3ZCQ8","mito",""
"TIMMDC1","Q9NPL8",125119.333333333,108894.666666667,"Q9NPL8","mito",""
"TIPIN","Q9BVW5",91530.0333333333,88968.0666666667,"Q9BVW5","nonmito",""
"TIPRL","O75663",294914.333333333,297931.333333333,"O75663","nonmito",""
"TJAP1","Q5JTD0;Q5JTD0-2",142431.666666667,160069.666666667,"Q5JTD0","nonmito",""
"TJP1","Q07157-2",165498.333333333,144682.333333333,"Q07157","nonmito",""
"TJP2","Q9UDY2",111124.333333333,123826.666666667,"Q9UDY2","nonmito",""
"TK1","P04183",265359,265553.333333333,"P04183","nonmito",""
"TKFC","Q3LXA3",162620.666666667,149452.666666667,"Q3LXA3","nonmito",""
"TKT","P29401;P29401-2",646623,685029,"P29401","nonmito",""
"TLCD3A","Q8TBR7;Q8TBR7-1",121082.666666667,122103.666666667,"Q8TBR7","nonmito",""
"TLE1","Q04724",47278.1,59352.6333333333,"Q04724","nonmito",""
"TLE3","Q04726;Q04726-4;Q04726-6",128016.333333333,128689.666666667,"Q04726","nonmito",""
"TLE4","Q04727;Q04727-3",214792.333333333,240729.333333333,"Q04727","nonmito",""
"TLK2","Q86UE8;Q86UE8-2",107670.333333333,113172,"Q86UE8","nonmito",""
"TLN1","Q9Y490",338543,316476.666666667,"Q9Y490","nonmito",""
"TLN2","Q9Y4G6",90405.8333333333,98735.6333333333,"Q9Y4G6","nonmito",""
"TM2D3","Q9BRN9",178571.333333333,179284,"Q9BRN9","nonmito",""
"TM9SF1","O15321;O15321-2",243762,165517.666666667,"O15321","nonmito",""
"TM9SF2","Q99805",180939,153517.333333333,"Q99805","nonmito",""
"TM9SF3","Q9HD45",173353,159562.666666667,"Q9HD45","nonmito",""
"TM9SF4","Q92544",141722.333333333,120673,"Q92544","nonmito",""
