"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"GATD1","Q8NB37",307221,280034.333333333,"Q8NB37","nonmito",""
"GBA","P04062;P04062-2;P04062-4",179350,164644.666666667,"P04062","nonmito",""
"GBE1","Q04446",191143.666666667,175517.333333333,"Q04446","nonmito",""
"GBF1","Q92538;Q92538-2;Q92538-3",200580,215457.666666667,"Q92538","nonmito",""
"GCA","P28676",127529,137031.333333333,"P28676","nonmito",""
"GCAT","O75600;O75600-2",136334.333333333,109443.333333333,"O75600","mito",""
"GCC1","Q96CN9",128248,83842.6,"Q96CN9","nonmito",""
"GCC2","Q8IWJ2",68588.5,73335.4333333333,"Q8IWJ2","nonmito",""
"GCDH","Q92947",200379,212373,"Q92947","mito",""
"GCFC2","P16383;P16383-2",65686.5333333333,60805.3666666667,"P16383","nonmito",""
"GCLC","P48506",158100,135163.333333333,"P48506","nonmito",""
"GCLM","P48507",309159.666666667,304180.666666667,"P48507","nonmito",""
"GCN1","Q92616",234497,239710.333333333,"Q92616","nonmito",""
"GDAP1","Q8TB36;Q8TB36-2",137551.666666667,128985.333333333,"Q8TB36","mito",""
"GDAP2","Q9NXN4;Q9NXN4-2",70170.0333333333,48461.5,"Q9NXN4","nonmito",""
"GDE1","Q9NZC3",51544.9666666667,49102.5333333333,"Q9NZC3","nonmito",""
"GDI1","P31150",446755.666666667,405647.666666667,"P31150","nonmito",""
"GDI2","P50395",663610,711055.333333333,"P50395","nonmito",""
"GDPD1","Q8N9F7",109491.533333333,97869.6333333333,"Q8N9F7","nonmito",""
"GDPGP1","Q6ZNW5",111226.666666667,96965.4333333333,"Q6ZNW5","nonmito",""
"GEMIN2","O14893;O14893-2",171257.666666667,146530.333333333,"O14893","nonmito",""
"GEMIN4","P57678",189671.333333333,212686.666666667,"P57678","nonmito",""
"GEMIN5","Q8TEQ6",202248.333333333,235758,"Q8TEQ6","nonmito",""
"GEMIN6","Q8WXD5",258955.333333333,261396.333333333,"Q8WXD5","nonmito",""
"GEMIN8","Q9NWZ8",107123.666666667,124276.333333333,"Q9NWZ8","nonmito",""
"GET1","O00258",165267.666666667,146305,"O00258","nonmito",""
"GET3","O43681",493565.666666667,373242.333333333,"O43681","nonmito",""
"GET4","Q7L5D6",235973,310108.333333333,"Q7L5D6","nonmito",""
"GFER","P55789",250028.666666667,246349.333333333,"P55789","mito",""
"GFM1","Q96RP9",212594,221971,"Q96RP9","mito",""
"GFM2","Q969S9;Q969S9-3",119904.666666667,99118.2,"Q969S9","mito",""
"GFPT1","Q06210;Q06210-2",249514.333333333,263527,"Q06210","nonmito",""
"GFPT2","O94808",165546,156784,"O94808","nonmito",""
"GGA1","Q9UJY5;Q9UJY5-3;Q9UJY5-4;Q9UJY5-6",108268.933333333,108240.666666667,"Q9UJY5","nonmito",""
"GGA2","Q9UJY4",114488.666666667,101869,"Q9UJY4","nonmito",""
"GGA3","Q9NZ52",126165.666666667,105892.333333333,"Q9NZ52","nonmito",""
"GGCT","O75223",476500.666666667,423042.333333333,"O75223","nonmito",""
"GGCX","P38435",169974.333333333,174549,"P38435","nonmito",""
"GGH","Q92820",277199.333333333,207396.666666667,"Q92820","nonmito",""
"GGPS1","O95749",174915,127576.666666667,"O95749","nonmito",""
"GGT7","Q9UJ14",106769.333333333,94087.6333333333,"Q9UJ14","nonmito",""
"GHDC","Q8N2G8;Q8N2G8-3",104409.433333333,96533.3333333333,"Q8N2G8","nonmito",""
"GHITM","Q9H3K2",311514.333333333,312988.666666667,"Q9H3K2","mito",""
"GID8","Q9NWU2",213571.666666667,240369,"Q9NWU2","nonmito",""
"GIGYF2","Q6Y7W6;Q6Y7W6-4;Q6Y7W6-5",166112.666666667,201332,"Q6Y7W6","nonmito",""
"GINS1","Q14691",229321.333333333,234634,"Q14691","nonmito",""
"GINS2","Q9Y248",377986.666666667,398716,"Q9Y248","nonmito",""
"GINS3","Q9BRX5",220915,241800,"Q9BRX5","nonmito",""
"GINS4","Q9BRT9",298422.333333333,316688.666666667,"Q9BRT9","nonmito",""
"GIPC1","O14908",193235,184515.666666667,"O14908","nonmito",""
"GIT1","Q9Y2X7;Q9Y2X7-3",101429.1,100516.266666667,"Q9Y2X7","nonmito",""
"GIT2","Q14161",63035.0333333333,55985.5666666667,"Q14161","nonmito",""
"GJA1","P17302",8910.87333333333,35947.4,"P17302","nonmito",""
"GJC1","P36383",27704.15,38611.9,"P36383","nonmito",""
"GK","P32189;P32189-1;P32189-2;P32189-4",122256.666666667,127510.333333333,"P32189","nonmito",""
"GLA","P06280",401394,523531.333333333,"P06280","nonmito",""
"GLB1","P16278;P16278-3",276355,246270,"P16278","nonmito",""
"GLB1L2","Q8IW92",87411.15,78064.6333333333,"Q8IW92","nonmito",""
"GLCCI1","Q86VQ1",101112.8,102186.366666667,"Q86VQ1","nonmito",""
"GLCE","O94923",97729.7333333333,91306.4,"O94923","nonmito",""
"GLDC","P23378",126279.3,68152.1333333333,"P23378","mito",""
"GLE1","Q53GS7",138208.666666667,129544,"Q53GS7","nonmito",""
"GLG1","Q92896;Q92896-2",178640,113809,"Q92896","nonmito",""
"GLIPR2","Q9H4G4",109585,113352,"Q9H4G4","nonmito",""
"GLMN","Q92990",159975.333333333,164246.333333333,"Q92990","nonmito",""
"GLO1","Q04760;Q04760-2",1602246.66666667,1406163.33333333,"Q04760","nonmito",""
"GLOD4","Q9HC38-2",469615.333333333,427771.333333333,"Q9HC38","mito",""
"GLRX3","O76003",806015.666666667,834887.666666667,"O76003","nonmito",""
"GLRX5","Q86SX6",600905.666666667,572354.333333333,"Q86SX6","mito",""
"GLS","O94925",202084.666666667,207771.666666667,"O94925","mito",""
"GLS","O94925-3",270445,244336,"O94925","mito",""
