"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"GPAT4","Q86UL3",114422.333333333,114559.666666667,"Q86UL3","nonmito",""
"GPATCH1","Q9BRR8",101294.4,90095.0333333333,"Q9BRR8","nonmito",""
"GPATCH11","Q8N954",97920.8666666667,97232.8,"Q8N954","nonmito",""
"GPATCH2","Q9NW75",51600.4666666667,44143.7333333333,"Q9NW75","nonmito",""
"GPATCH4","Q5T3I0",171778.333333333,188837.333333333,"A8KAG1","nonmito",""
"GPATCH8","Q9UKJ3",75967.3,82550.7,"Q9UKJ3","nonmito",""
"GPC1","P35052",104872.433333333,99464.6333333333,"P35052","nonmito",""
"GPC3","P51654;P51654-3",84295.2333333333,82752.1333333333,"P51654","nonmito",""
"GPC4","O75487;O75487-2",104441.966666667,97381.6666666667,"O75487","nonmito",""
"GPC6","Q9Y625",109344.633333333,97450.5666666667,"Q9Y625","nonmito",""
"GPCPD1","Q9NPB8",39675.8666666667,43685.0333333333,"Q9NPB8","nonmito",""
"GPD1L","Q8N335",196243.666666667,183224,"Q8N335","nonmito",""
"GPD2","P43304",156202.333333333,150199.333333333,"P43304","mito",""
"GPHN","Q9NQX3;Q9NQX3-2",159304.333333333,163047,"Q9NQX3","nonmito",""
"GPI","P06744",597417.333333333,619326.666666667,"P06744","nonmito",""
"GPKOW","Q92917",170060,170106.666666667,"Q92917","nonmito",""
"GPN1","Q9HCN4",103577.433333333,109352.333333333,"Q9HCN4","nonmito",""
"GPN3","Q9UHW5;Q9UHW5-2",164336,176221.333333333,"Q9UHW5","nonmito",""
"GPR107","Q5VW38;Q5VW38-2",97816.0666666667,50355.2333333333,"Q5VW38","nonmito",""
"GPR180","Q86V85",86603.4,93529.8333333333,"Q86V85","nonmito",""
"GPRASP2","Q96D09",92925.8333333333,106107,"B3KW05","nonmito",""
"GPRIN1","Q7Z2K8",60467.0666666667,68429.5333333333,"Q7Z2K8","nonmito",""
"GPS1","Q13098;Q13098-5;Q13098-7",307889.333333333,326621,"Q13098","nonmito",""
"GPSM1","Q86YR5;Q86YR5-4",95677.1333333333,69686.3666666667,"Q86YR5","nonmito",""
"GPT2","Q8TD30",131300.666666667,101076.933333333,"Q8TD30","mito",""
"GPX1","P07203",237336.666666667,189894,"P07203","mito",""
"GPX4","P36969;P36969-2",189278.333333333,152955,"P36969","mito",""
"GPX8","Q8TED1",321478.666666667,238107.666666667,"Q8TED1","nonmito",""
"GRB10","Q13322;Q13322-2;Q13322-4",120740.333333333,119572.666666667,"Q13322","nonmito",""
"GRB2","P62993",363337,361010.333333333,"P62993","nonmito",""
"GRHPR","Q9UBQ7",401175.333333333,337688.333333333,"Q9UBQ7","mito",""
"GRIPAP1","Q4V328",126529.333333333,122856,"Q4V328","nonmito",""
"GRK2","P25098",183118.333333333,181219.333333333,"P25098","nonmito",""
"GRK6","P43250;P43250-2;P43250-3",83144.2333333333,79821.7333333333,"P43250","nonmito",""
"GRN","P28799",149259,176854.333333333,"P28799","nonmito",""
"GRPEL1","Q9HAV7",417283.666666667,394029.333333333,"Q9HAV7","mito",""
"GRPEL2","Q8TAA5",185463,159175.666666667,"Q8TAA5","mito",""
"GRSF1","Q12849",235532.333333333,260288.666666667,"Q12849","mito",""
"GRWD1","Q9BQ67",531164.333333333,533810.333333333,"Q9BQ67","nonmito",""
"GSDME","O60443",15052.95,39226.1666666667,"O60443","nonmito",""
"GSK3A","P49840",245168.333333333,240498,"P49840","nonmito",""
"GSK3B","P49841;P49841-2",175650,191166.333333333,"P49841","nonmito",""
"GSN","P06396-2",104440.666666667,93253.7666666667,"P06396","nonmito",""
"GSPT1","P15170-2;P15170-3",439676.666666667,433292.333333333,"P15170","nonmito",""
"GSR","P00390;P00390-2;P00390-3",223176,209196.666666667,"P00390","mito",""
"GSS","P48637",327911,309037.666666667,"P48637","nonmito",""
"GSTA4","O15217;O15217-2",100711.4,92075.8,"O15217","nonmito",""
"GSTCD","Q8NEC7",84215.5666666667,72393.8666666667,"Q8NEC7","nonmito",""
"GSTK1","Q9Y2Q3",214400.333333333,225231,"Q9Y2Q3","mito",""
"GSTM2","P28161",364750.666666667,398432.333333333,"P28161","nonmito",""
"GSTM3","P21266",310119,298431.333333333,"P21266","nonmito",""
"GSTO1","P78417;P78417-3",289332.333333333,260613.333333333,"P78417","nonmito",""
"GSTP1","P09211",1672480,1525790,"P09211","nonmito",""
"GSTZ1","O43708",207031.666666667,193690.666666667,"O43708","mito",""
"GTF2A1","P52655",164312.666666667,183655.333333333,"P52655","nonmito",""
"GTF2B","Q00403",227754.666666667,241964.333333333,"Q00403","nonmito",""
"GTF2E1","P29083",80044.5333333333,80766.8333333333,"P29083","nonmito",""
"GTF2E2","P29084",100076.166666667,95143.8666666667,"P29084","nonmito",""
"GTF2F1","P35269",285238,311666.666666667,"P35269","nonmito",""
"GTF2F2","P13984",209126,212054.333333333,"P13984","nonmito",""
"GTF2H1","P32780",61406.6666666667,52311.9666666667,"P32780","nonmito",""
