"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"LCOR","Q96JN0-3",76451.7333333333,68795,"Q96JN0","nonmito",""
"LDAH","Q9H6V9;Q9H6V9-2",140927,126121.666666667,"Q9H6V9","nonmito",""
"LDB1","Q86U70;Q86U70-2;Q86U70-3",175898.666666667,148490.333333333,"Q86U70","nonmito",""
"LDHA","P00338;P00338-3",1108903.33333333,1087703.33333333,"P00338","nonmito",""
"LDHB","P07195",925861.666666667,927242.333333333,"P07195","mito",""
"LDLR","P01130;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6",81534.3333333333,107838.9,"P01130","nonmito",""
"LEMD2","Q8NC56",121219.333333333,104743,"Q8NC56","nonmito",""
"LEMD3","Q9Y2U8",127802.333333333,134641.333333333,"Q9Y2U8","nonmito",""
"LENG1","Q96BZ8",135946.333333333,122025,"Q96BZ8","nonmito",""
"LENG8","Q96PV6",87240.1333333333,74703.6333333333,"Q96PV6","nonmito",""
"LEO1","Q8WVC0",91230.8,84165.2333333333,"Q8WVC0","nonmito",""
"LETM1","O95202",248044.333333333,215453.666666667,"O95202","mito",""
"LGALS1","P09382",158501,126571,"P09382","nonmito",""
"LGALSL","Q3ZCW2",170072.333333333,158226.666666667,"Q3ZCW2","nonmito",""
"LGMN","Q99538;Q99538-2;Q99538-3",171388,138441,"Q99538","nonmito",""
"LHPP","Q9H008",80685.6333333333,71831.1,"Q9H008","nonmito",""
"LIG1","P18858",125443.666666667,138581.333333333,"P18858","nonmito",""
"LIG3","P49916;P49916-3",134323.666666667,124700.333333333,"P49916","mito",""
"LIMA1","Q9UHB6-4",112445.333333333,92059.3333333333,"Q9UHB6","nonmito",""
"LIMD1","Q9UGP4",164409.333333333,180709,"Q9UGP4","nonmito",""
"LIMD2","Q9BT23",121688,133566.666666667,"Q9BT23","nonmito",""
"LIMS1","P48059;P48059-2;P48059-3;P48059-4;P48059-5",123015.266666667,145146.666666667,"P48059","nonmito",""
"LIN28B","Q6ZN17",191882.666666667,175294,"Q6ZN17","nonmito",""
"LIN37","Q96GY3",117462.7,132955,"Q96GY3","nonmito",""
"LIN54","Q6MZP7",44284.2,42960.7,"Q6MZP7","nonmito",""
"LIN7A","O14910",194426.333333333,194087.666666667,"O14910","nonmito",""
"LIN7C","Q9NUP9",379202.333333333,415486.666666667,"Q9NUP9","nonmito",""
"LIN9","Q5TKA1;Q5TKA1-2",186931.333333333,194853.666666667,"Q5TKA1","nonmito",""
"LIPA","P38571;P38571-2",127829.666666667,137122.666666667,"P38571","nonmito",""
"LIX1L","Q8IVB5",102633,99499.2,"Q8IVB5","nonmito",""
"LLGL1","Q15334",150099.666666667,145959.333333333,"Q15334","nonmito",""
"LLPH","Q9BRT6",182151,153063.666666667,"Q9BRT6","nonmito",""
"LMAN1","P49257",267803.666666667,245157,"P49257","nonmito",""
"LMAN2","Q12907",772233.333333333,727733.333333333,"Q12907","nonmito",""
"LMAN2L","Q9H0V9;Q9H0V9-2",192936.666666667,164199,"Q9H0V9","nonmito",""
